fid,left,top,right,bottom,terrainEle,terrainSlo,terrainAsp,surfaceEle,surfaceSlo,surfaceAsp,isOnsite,isZoned,zoneName,isForest,landCoverI,waterType,roadType,isRoad,isHedge,terSurfDif,hasSurfFea,isWater
36860,501970.3059,132774.4615,501972.6153,132772.4615,28.086483,2.11296716,37.68701506,28.12400055,0.71758737,125.7825108,false,false,,false,4,,,false,false,0.038,false,false
36861,501970.3059,132772.4615,501972.6153,132770.4615,28.12648296,1.74828389,35.30209017,28.12650013,1.64907557,31.76655579,false,false,,false,4,,,false,false,0,false,false
36862,501970.3059,132770.4615,501972.6153,132768.4615,28.19648266,3.08254278,30.288589,28.19649982,2.99006391,24.9422102,false,false,,false,4,,,false,false,0,false,false
36863,501970.3059,132768.4615,501972.6153,132766.4615,28.27648306,1.68366696,50.31799126,28.27900028,1.81736198,38.83622932,false,false,,false,4,,,false,false,0.003,false,false
36864,501970.3059,132766.4615,501972.6153,132764.4615,28.29398346,1.98533922,58.49518394,28.31899977,1.76282853,45.1508441,false,false,,false,4,,,false,false,0.025,false,false
36865,501970.3059,132764.4615,501972.6153,132762.4615,28.36398315,2.40224752,49.50467587,28.37149954,2.27145711,46.34785843,false,false,,false,4,,,false,false,0.008,false,false
36866,501970.3059,132762.4615,501972.6153,132760.4615,28.39398289,1.67984575,30.51945943,28.41650009,1.57047254,33.59544206,false,false,,false,4,,,false,false,0.023,false,false
36867,501970.3059,132760.4615,501972.6153,132758.4615,28.45898294,1.54917927,30.51163197,28.47399998,1.84075183,29.34267569,false,false,,false,4,,,false,false,0.015,false,false
36868,501970.3059,132758.4615,501972.6153,132756.4615,28.49898291,1.92217976,48.59209728,28.50150013,1.95302314,56.61088085,false,false,,false,4,,,false,false,0.003,false,false
36869,501970.3059,132756.4615,501972.6153,132754.4615,28.54398298,2.51062185,34.41960335,28.55900002,2.59115022,34.59854329,false,false,,false,4,,,false,false,0.015,false,false
36870,501970.3059,132754.4615,501972.6153,132752.4615,28.60648298,1.84544462,74.32863331,28.60650015,1.28870815,71.75540829,false,false,,false,4,,,false,false,0,false,false
36871,501970.3059,132752.4615,501972.6153,132750.4615,28.60898352,2.07212976,77.53675461,28.62150002,1.90824196,80.30649757,false,false,,false,4,,,false,false,0.013,false,false
36872,501970.3059,132750.4615,501972.6153,132748.4615,28.62648296,2.19119275,81.26911545,28.64149952,2.30149668,79.40522385,false,false,,false,4,,,false,false,0.015,false,false
36873,501970.3059,132748.4615,501972.6153,132746.4615,28.61898327,2.25174513,78.63370132,28.62400007,2.10133773,87.10753822,false,false,,false,4,,,false,false,0.005,false,false
36874,501970.3059,132746.4615,501972.6153,132744.4615,28.65398312,2.02661857,52.03142619,28.66149998,1.9582673,57.11446762,false,false,,false,4,,,false,false,0.008,false,false
36875,501970.3059,132744.4615,501972.6153,132742.4615,28.67148256,0.98900753,69.54921913,28.68149996,1.16068849,60.88309479,false,false,,false,4,,,false,false,0.01,false,false
36876,501970.3059,132742.4615,501972.6153,132740.4615,28.68898296,1.15449816,81.61315918,28.69900036,1.18624936,194.9720717,false,false,,false,4,,,false,false,0.01,false,false
36877,501970.3059,132740.4615,501972.6153,132738.4615,28.70398331,1.63484514,47.065979,28.7414999,1.00911345,38.32983148,false,false,,false,4,,,false,false,0.038,false,false
36878,501970.3059,132738.4615,501972.6153,132736.4615,28.73898315,1.66169906,94.47148323,28.74650002,1.81569988,87.60874271,false,false,,false,4,,,false,false,0.008,false,false
36879,501970.3059,132736.4615,501972.6153,132734.4615,28.72648287,1.64202012,76.57562828,28.74650002,1.37783012,86.41817093,false,false,,false,4,,,false,false,0.02,false,false
36880,501970.3059,132734.4615,501972.6153,132732.4615,28.72898293,1.18584171,97.66106987,28.73400021,1.3727176,114.8798981,false,false,,false,4,,,false,false,0.005,false,false
36881,501970.3059,132732.4615,501972.6153,132730.4615,28.75398254,1.53865075,65.35011959,28.75399971,1.64277801,62.50627851,false,false,,false,4,,,false,false,0,false,false
36882,501970.3059,132730.4615,501972.6153,132728.4615,28.7364831,1.88056189,121.7473698,28.73900032,1.74917522,119.7900658,false,false,,false,4,,,false,false,0.003,false,false
36883,501970.3059,132728.4615,501972.6153,132726.4615,28.71898317,1.84439608,89.4295826,28.76149988,1.77170214,61.06038475,false,false,,false,4,,,false,false,0.043,false,false
36884,501970.3059,132726.4615,501972.6153,132724.4615,28.72398329,1.14094187,86.27183533,28.7414999,1.18829548,112.7185555,false,false,,false,4,,,false,false,0.018,false,false
36885,501970.3059,132724.4615,501972.6153,132722.4615,28.72148275,1.14802721,77.24172211,28.73650026,1.26465619,89.00860405,false,false,,false,4,,,false,false,0.015,false,false
36886,501970.3059,132722.4615,501972.6153,132720.4615,28.73398256,1.30928281,94.10752487,28.73649979,1.32761759,96.87650871,false,false,,false,4,,,false,false,0.003,false,false
36887,501970.3059,132720.4615,501972.6153,132718.4615,28.73398256,1.55840942,89.68873024,28.74399996,1.22583178,98.02083206,false,false,,false,4,,,false,false,0.01,false,false
36888,501970.3059,132718.4615,501972.6153,132716.4615,28.73398256,1.61576101,75.13222408,28.73399973,1.29323815,75.27158833,false,false,,false,4,,,false,false,0,false,false
